Record_ID,State,District,Year,Season,Crop,Area_Hectares,Production_Tonnes,Yield_Tonnes_Per_Hectare,Rainfall_mm,Temperature_C,Humidity_Percentage,Soil_Type,Irrigation_Type,Fertilizer_Used_kg,Pesticide_Used_kg,Farmer_Category,Organic_Farming,Labor_Count,Market_Price_per_Tonne,Production_Cost,Revenue,Profit,Crop_Quality,Region
15,Haryana,Hisar,2022,Rabi,Wheat,371.47,1047.55,2.82,710.8,22.0,75.0,Alluvial,Tube Well,40265.29,4070.83,Medium,Yes,10,2432.75,9659712.45,2548427.26,-7111285.19,Good,North
16,Maharashtra,Nagpur,2025,Rabi,Jowar,280.89,528.07,1.88,2104.0,15.2,22.9,Alluvial,Tube Well,32963.43,1608.84,Small,No,1,2129.25,3398983.99,1124393.05,-2274590.94,Excellent,West
17,Haryana,Rohtak,2024,Rabi,Barley,462.96,958.33,2.07,2419.7,16.2,53.0,Red,Sprinkler,69228.31,2559.63,Medium,No,7,1633.4,10589629.03,1565336.22,-9024292.81,Good,North
18,Odisha,Bhubaneswar,2025,Kharif,Cotton,408.48,183.82,0.45,2406.5,18.0,21.9,Red,Rain-fed,35111.58,4292.26,Large,No,30,6018.81,19193639.02,1106377.65,-18087261.37,Poor,East
19,Rajasthan,Jaipur,2019,Rabi,Mustard,90.11,129.76,1.44,414.4,25.2,78.3,Alluvial,Rain-fed,11251.97,597.04,Small,No,3,4053.26,1654471.43,525951.02,-1128520.41,Average,North
20,Bihar,Darbhanga,2021,Kharif,Soybean,35.92,52.8,1.47,1010.4,39.7,77.6,Alluvial,Tube Well,2992.13,197.28,Small,No,2,3691.84,849295.45,194929.15,-654366.3,Average,East
21,West Bengal,Howrah,2022,Kharif,Groundnut,152.63,303.73,1.99,1859.3,21.3,55.3,Clay,Drip,17028.07,1485.26,Large,No,12,4925.68,4572460.17,1496076.79,-3076383.38,Good,East
22,Haryana,Hisar,2022,Kharif,Cotton,74.53,50.68,0.68,1872.7,36.9,56.4,Clay,Tube Well,5009.98,645.42,Small,No,1,6785.32,3839115.88,343880.02,-3495235.86,Average,North
23,Bihar,Muzaffarpur,2021,Rabi,Maize,26.06,119.88,4.6,1423.7,38.0,73.4,Sandy,Tube Well,2200.03,242.56,Small,No,5,1556.04,799936.88,186538.08,-613398.8,Good,East
24,Uttar Pradesh,Agra,2025,Whole Year,Sugarcane,420.09,32233.51,76.73,1505.3,18.4,55.2,Clay,Sprinkler,30594.78,1972.04,Large,Yes,14,360.36,37075784.69,11615667.66,-25460117.03,Excellent,North
25,Gujarat,Rajkot,2025,Kharif,Groundnut,104.21,239.68,2.3,1793.8,34.3,88.5,Sandy,Rain-fed,11127.25,1184.88,Small,No,4,5307.33,3232543.23,1272060.85,-1960482.38,Good,West
26,Assam,Silchar,2025,Kharif,Cotton,218.48,87.39,0.4,2069.5,24.2,33.2,Laterite,Drip,38736.74,1502.13,Large,No,10,5167.89,8895482.95,451621.91,-8443861.04,Poor,Northeast
27,Uttar Pradesh,Lucknow,2022,Rabi,Groundnut,106.62,216.44,2.03,1199.5,36.3,86.6,Alluvial,Canal,11284.98,985.09,Small,No,2,5475.22,3381826.02,1185056.62,-2196769.4,Average,North
28,Bihar,Patna,2021,Kharif,Cotton,311.05,152.41,0.49,431.7,43.2,57.2,Alluvial,Sprinkler,19748.71,2388.78,Medium,Yes,6,7425.72,9531181.86,1131753.99,-8399427.87,Average,East
29,Telangana,Karimnagar,2024,Rabi,Potato,38.92,1004.14,25.8,395.5,37.0,88.0,Sandy,Canal,5895.28,281.21,Small,No,3,855.17,2312871.5,858710.4,-1454161.1,Excellent,South
30,Gujarat,Vadodara,2019,Rabi,Groundnut,318.16,719.04,2.26,1362.9,35.7,97.2,Alluvial,Tube Well,48725.53,2201.64,Small,No,5,4902.59,10427915.88,3525158.31,-6902757.57,Good,West
31,Haryana,Rohtak,2025,Kharif,Cotton,285.35,139.82,0.49,1533.5,21.4,59.0,Alluvial,Sprinkler,25010.2,3048.54,Medium,No,4,6033.25,9923448.76,843569.02,-9079879.74,Good,North
32,Gujarat,Vadodara,2021,Rabi,Potato,323.31,8671.17,26.82,369.9,17.8,75.3,Alluvial,Tube Well,29635.52,2291.69,Small,No,5,1064.63,19749600.94,9231587.72,-10518013.22,Excellent,West
33,Maharashtra,Nagpur,2019,Rabi,Potato,158.46,4975.64,31.4,2101.5,16.7,79.1,Alluvial,Tube Well,28003.84,1072.93,Small,Yes,2,1163.7,7775319.66,5790152.27,-1985167.39,Good,West
34,Uttar Pradesh,Meerut,2018,Whole Year,Rice,349.01,1291.34,3.7,1523.5,40.5,65.9,Laterite,Rain-fed,35482.32,1056.8,Small,No,4,1579.86,9181360.25,2040136.41,-7141223.84,Good,North
35,Andhra Pradesh,Vijayawada,2020,Rabi,Maize,43.51,158.81,3.65,1306.9,30.9,69.5,Sandy,Rain-fed,4484.66,255.4,Large,No,19,1641.18,819868.69,260635.8,-559232.89,Poor,South
36,Haryana,Hisar,2021,Whole Year,Sugarcane,79.37,4126.45,51.99,107.8,25.8,67.5,Alluvial,Canal,5746.92,696.59,Medium,No,7,372.39,7263396.42,1536648.72,-5726747.7,Average,North
37,Telangana,Warangal,2024,Rabi,Wheat,324.17,1601.4,4.94,307.1,15.8,44.6,Clay,Tube Well,54774.02,1890.13,Small,No,4,2365.61,9403685.18,3788287.85,-5615397.33,Excellent,South
38,Haryana,Sirsa,2018,Rabi,Mustard,367.53,389.58,1.06,763.9,33.6,88.8,Sandy,Canal,66133.4,3085.45,Small,Yes,2,5387.61,8512262.32,2098905.1,-6413357.22,Good,North
39,Andhra Pradesh,Nellore,2025,Rabi,Wheat,174.63,670.58,3.84,2587.4,21.5,75.5,Alluvial,Rain-fed,26875.43,1231.33,Small,No,3,1869.55,5920980.8,1253682.84,-4667297.96,Average,South
40,Odisha,Bhubaneswar,2025,Kharif,Groundnut,94.6,193.93,2.05,1913.7,36.6,36.3,Sandy,Drip,16070.1,550.5,Medium,Yes,7,6188.75,1911404.07,1200184.29,-711219.78,Good,East
41,Madhya Pradesh,Indore,2025,Rabi,Wheat,249.69,976.29,3.91,892.9,39.2,98.4,Red,Rain-fed,29257.95,1303.24,Large,No,14,2318.42,6235371.85,2263450.26,-3971921.59,Average,Central
42,Gujarat,Rajkot,2022,Zaid,Tomato,142.14,3736.86,26.29,2996.8,27.1,31.9,Sandy,Rain-fed,12553.43,1005.08,Small,No,3,1830.48,11275555.71,6840247.49,-4435308.22,Good,West
43,Gujarat,Surat,2024,Whole Year,Rice,372.61,1594.77,4.28,1219.6,33.2,85.7,Red,Rain-fed,65234.85,890.06,Large,No,13,2111.93,12596499.94,3368042.61,-9228457.33,Good,West
44,Karnataka,Bengaluru,2020,Kharif,Groundnut,38.34,58.28,1.52,1907.5,23.9,26.4,Alluvial,Tube Well,3573.34,171.89,Medium,No,12,4553.85,806148.77,265398.38,-540750.39,Average,South
45,Assam,Dibrugarh,2021,Rabi,Potato,217.55,4688.2,21.55,2630.5,25.5,75.5,Black,Canal,18581.48,351.85,Small,No,2,1224.93,12395529.5,5742716.83,-6652812.67,Poor,Northeast
46,Uttar Pradesh,Kanpur,2019,Rabi,Barley,310.24,964.85,3.11,515.0,26.1,40.3,Alluvial,Canal,51452.43,1897.98,Small,No,1,1720.86,5725682.79,1660371.77,-4065311.02,Good,North
47,Telangana,Karimnagar,2022,Kharif,Bajra,100.41,167.68,1.67,787.9,30.0,66.0,Clay,Sprinkler,4324.81,1017.19,Small,Yes,1,2333.76,1840353.54,391324.88,-1449028.66,Poor,South
48,Bihar,Gaya,2023,Kharif,Cotton,310.82,217.57,0.7,2011.6,39.3,70.3,Clay,Canal,25875.95,1818.0,Medium,No,5,6819.26,11863370.97,1483666.4,-10379704.57,Excellent,East
49,Madhya Pradesh,Bhopal,2023,Rabi,Jowar,415.41,751.89,1.81,1497.4,38.2,79.7,Alluvial,Canal,43853.34,759.49,Medium,No,10,2177.09,7496437.53,1636932.2,-5859505.33,Good,Central
50,Bihar,Muzaffarpur,2018,Whole Year,Sugarcane,227.94,18827.84,82.6,1795.2,38.8,95.2,Black,Drip,24163.18,1781.35,Large,No,29,302.14,14252787.69,5688643.58,-8564144.11,Good,East
51,Assam,Dibrugarh,2024,Rabi,Wheat,23.63,97.59,4.13,436.7,18.2,63.0,Laterite,Rain-fed,2172.58,270.4,Medium,No,6,2331.25,751164.48,227506.69,-523657.79,Average,Northeast
52,Andhra Pradesh,Nellore,2022,Whole Year,Rice,109.42,279.02,2.55,1151.8,44.3,49.4,Clay,Sprinkler,5304.35,441.48,Large,No,24,1564.17,3199672.37,436434.71,-2763237.66,Average,South
53,Punjab,Ludhiana,2023,Kharif,Cotton,393.7,255.91,0.65,1707.2,30.5,85.0,Red,Sprinkler,58429.65,3809.08,Medium,No,6,6975.05,17128070.63,1784985.05,-15343085.58,Average,North
54,Haryana,Karnal,2020,Whole Year,Rice,395.2,1023.57,2.59,605.3,11.8,79.3,Sandy,Canal,57064.17,2465.54,Medium,No,5,1816.4,11631129.27,1859212.55,-9771916.72,Average,North
55,West Bengal,Asansol,2022,Kharif,Bajra,31.35,49.85,1.59,2089.7,27.2,92.8,Black,Canal,2667.75,82.5,Small,No,5,1729.01,415445.64,86191.15,-329254.49,Poor,East
56,Tamil Nadu,Madurai,2025,Rabi,Jowar,50.49,106.53,2.11,1987.7,36.9,77.7,Red,Rain-fed,5211.46,177.39,Small,No,4,2010.73,662705.66,214203.07,-448502.59,Excellent,South
57,Maharashtra,Nashik,2020,Kharif,Pulses,34.5,25.88,0.75,380.0,35.9,84.9,Sandy,Canal,4212.63,247.62,Small,Yes,3,8895.44,559913.22,230213.99,-329699.23,Poor,West
58,Punjab,Patiala,2022,Kharif,Soybean,289.38,471.69,1.63,750.3,13.8,87.6,Alluvial,Canal,42470.79,2116.84,Medium,No,12,3526.25,7835859.36,1663296.86,-6172562.5,Average,North
59,Maharashtra,Pune,2020,Whole Year,Sugarcane,460.85,27010.42,58.61,515.4,33.0,25.6,Clay,Canal,24354.11,3150.05,Small,No,2,317.01,40952900.07,8562573.24,-32390326.83,Poor,West
60,Andhra Pradesh,Kurnool,2019,Rabi,Mustard,78.63,88.85,1.13,336.6,25.5,53.9,Sandy,Rain-fed,7704.62,265.08,Small,No,1,4339.9,1634313.74,385600.11,-1248713.63,Average,South
61,Telangana,Nizamabad,2018,Kharif,Cotton,492.24,172.28,0.35,2841.4,36.9,81.1,Alluvial,Sprinkler,27958.15,3185.4,Small,Yes,5,7368.78,25022456.81,1269493.42,-23752963.39,Poor,South
62,Haryana,Panipat,2018,Kharif,Groundnut,230.42,294.94,1.28,1344.9,24.2,71.2,Alluvial,Canal,22282.66,2679.37,Small,No,4,5748.04,7787400.19,1695326.92,-6092073.27,Good,North
63,Odisha,Bhubaneswar,2021,Rabi,Groundnut,262.46,372.69,1.42,1084.6,21.7,33.5,Sandy,Canal,29995.16,822.27,Medium,No,6,4854.4,5825736.24,1809186.34,-4016549.9,Good,East
64,Andhra Pradesh,Visakhapatnam,2019,Rabi,Maize,232.51,955.62,4.11,2075.3,40.9,71.4,Sandy,Sprinkler,37432.85,1836.69,Small,Yes,4,2030.15,6110334.11,1940051.94,-4170282.17,Good,South
65,Haryana,Rohtak,2025,Kharif,Bajra,29.39,36.15,1.23,2606.3,39.9,69.2,Sandy,Rain-fed,3079.47,208.59,Medium,No,11,1945.43,461909.9,70327.29,-391582.61,Good,North
66,Andhra Pradesh,Nellore,2020,Whole Year,Rice,52.65,168.48,3.2,2171.5,27.7,33.8,Red,Rain-fed,9410.56,356.16,Medium,No,8,1771.19,2131761.42,298410.09,-1833351.33,Average,South
67,Punjab,Patiala,2019,Kharif,Soybean,279.42,352.07,1.26,2569.5,43.8,68.2,Red,Sprinkler,14365.06,2319.11,Large,No,30,4198.48,5615071.7,1478158.85,-4136912.85,Average,North
68,Haryana,Rohtak,2024,Kharif,Pulses,406.78,573.56,1.41,2242.4,34.0,62.1,Clay,Rain-fed,45229.21,488.35,Small,No,3,7369.17,6859412.85,4226661.15,-2632751.7,Excellent,North
69,Uttar Pradesh,Kanpur,2019,Whole Year,Sugarcane,254.34,20810.1,81.82,1626.9,33.2,90.1,Sandy,Drip,31440.11,685.9,Small,No,5,360.9,16944529.26,7510365.09,-9434164.17,Excellent,North
70,Gujarat,Rajkot,2021,Kharif,Bajra,376.44,553.37,1.47,793.6,43.8,82.7,Red,Sprinkler,50805.45,2738.46,Small,No,4,1701.74,5340406.82,941691.86,-4398714.96,Good,West
71,Madhya Pradesh,Ujjain,2020,Kharif,Tomato,27.04,653.56,24.17,2809.5,34.9,61.3,Black,Sprinkler,1399.12,74.72,Small,No,4,819.23,2078501.89,535415.96,-1543085.93,Poor,Central
72,Assam,Dibrugarh,2018,Kharif,Groundnut,198.83,302.22,1.52,336.7,17.9,45.5,Black,Sprinkler,29982.23,499.78,Small,No,2,5638.26,5375697.5,1703994.94,-3671702.56,Average,Northeast
73,Assam,Guwahati,2018,Whole Year,Sugarcane,417.65,34092.77,81.63,1630.5,13.9,43.0,Alluvial,Canal,19497.96,2346.39,Medium,No,5,363.67,33409146.99,12398517.67,-21010629.32,Good,Northeast
74,Telangana,Khammam,2021,Rabi,Potato,146.34,2525.83,17.26,1754.9,16.6,73.5,Sandy,Sprinkler,7240.19,993.16,Small,No,5,816.27,9687699.68,2061759.25,-7625940.43,Good,South
75,Gujarat,Rajkot,2022,Rabi,Potato,179.19,2902.88,16.2,2005.6,13.6,66.6,Alluvial,Drip,8279.83,1255.43,Medium,No,11,1584.66,9740040.02,4600077.82,-5139962.2,Good,West
76,Uttar Pradesh,Lucknow,2025,Whole Year,Rice,101.59,465.28,4.58,1015.2,20.9,51.9,Sandy,Rain-fed,7666.38,943.39,Small,No,1,2106.06,3214154.58,979907.6,-2234246.98,Excellent,North
77,Rajasthan,Udaipur,2024,Rabi,Potato,447.42,12796.21,28.6,1539.0,27.4,93.9,Sandy,Sprinkler,68079.75,4025.84,Small,No,2,1236.38,22208292.52,15820978.12,-6387314.4,Excellent,North
78,Telangana,Nizamabad,2022,Kharif,Bajra,84.16,138.02,1.64,2207.8,41.9,69.2,Laterite,Sprinkler,10900.88,816.88,Small,No,4,1617.99,1515802.37,223314.98,-1292487.39,Average,South
79,Punjab,Amritsar,2025,Kharif,Rice,34.55,109.18,3.16,1210.3,29.9,68.4,Clay,Rain-fed,5971.46,175.93,Medium,No,12,1756.86,1080990.34,191813.97,-889176.37,Good,North
80,Haryana,Karnal,2020,Kharif,Bajra,456.86,872.6,1.91,2141.7,17.5,69.0,Clay,Rain-fed,31077.89,1138.96,Small,No,4,1998.36,8271510.69,1743768.94,-6527741.75,Poor,North
81,Rajasthan,Kota,2019,Rabi,Jowar,445.77,887.08,1.99,2789.2,32.3,83.5,Sandy,Drip,25404.76,1431.27,Small,No,1,1752.63,7008741.0,1554723.02,-5454017.98,Excellent,North
82,Tamil Nadu,Coimbatore,2019,Rabi,Wheat,199.68,766.77,3.84,1291.3,24.3,66.0,Red,Sprinkler,25943.9,1188.04,Medium,No,12,2183.88,4647619.18,1674533.67,-2973085.51,Poor,South
83,Gujarat,Bhavnagar,2018,Zaid,Tomato,259.53,5068.62,19.53,2810.7,17.9,95.8,Sandy,Sprinkler,41117.52,974.97,Medium,No,6,1512.53,17260039.99,7666439.81,-9593600.18,Good,West
84,Telangana,Warangal,2020,Rabi,Maize,421.42,2098.67,4.98,182.3,11.6,71.3,Sandy,Sprinkler,55272.69,3976.75,Small,No,4,1833.4,10804401.68,3847701.58,-6956700.1,Good,South
85,Maharashtra,Aurangabad,2021,Zaid,Onion,149.42,1664.54,11.14,1374.9,26.9,36.3,Sandy,Drip,12515.65,1330.14,Medium,No,10,1070.0,6613852.91,1781057.8,-4832795.11,Average,West
86,Rajasthan,Jodhpur,2025,Rabi,Wheat,225.35,525.07,2.33,2841.6,40.2,53.5,Red,Sprinkler,38472.93,2012.92,Small,No,5,2080.09,8072794.61,1092192.86,-6980601.75,Average,North
87,Haryana,Panipat,2025,Kharif,Cotton,292.09,110.99,0.38,1832.8,39.5,73.8,Alluvial,Tube Well,12018.0,637.48,Small,No,3,6527.71,11434866.03,724510.53,-10710355.5,Average,North
88,Andhra Pradesh,Kurnool,2021,Kharif,Soybean,37.69,72.36,1.92,911.2,44.6,74.4,Black,Drip,6652.72,201.0,Medium,No,9,4254.97,662882.39,307889.63,-354992.76,Good,South
89,Tamil Nadu,Chennai,2018,Kharif,Rice,357.08,1285.49,3.6,531.9,41.3,31.2,Sandy,Sprinkler,22406.87,4248.1,Medium,No,9,1855.12,12567174.22,2384738.21,-10182436.01,Good,South
90,Andhra Pradesh,Guntur,2025,Zaid,Tomato,184.81,6740.02,36.47,1792.7,37.9,78.0,Clay,Canal,22836.48,724.61,Medium,No,7,1637.82,12090882.79,11038939.56,-1051943.23,Excellent,South
91,Telangana,Khammam,2024,Kharif,Maize,16.75,45.39,2.71,154.9,21.0,32.1,Clay,Drip,1632.34,159.54,Large,No,11,1723.47,423131.21,78228.3,-344902.91,Average,South
92,Telangana,Karimnagar,2024,Kharif,Soybean,230.37,384.72,1.67,2060.0,40.4,74.5,Clay,Sprinkler,28890.87,717.58,Small,No,2,4441.49,6397232.96,1708730.03,-4688502.93,Average,South
93,West Bengal,Howrah,2025,Kharif,Soybean,175.05,386.86,2.21,893.0,14.3,74.1,Laterite,Rain-fed,27057.98,2013.2,Medium,No,8,4455.31,2805593.34,1723581.23,-1082012.11,Average,East
94,Telangana,Nizamabad,2025,Kharif,Cotton,414.15,223.64,0.54,887.7,13.8,79.3,Red,Drip,19509.43,4537.85,Small,No,1,5826.6,19851845.97,1303060.82,-18548785.15,Excellent,South
95,Bihar,Gaya,2018,Kharif,Jowar,204.05,467.27,2.29,1484.6,17.0,97.1,Alluvial,Sprinkler,26613.37,2241.96,Small,No,5,2017.08,3775604.69,942520.97,-2833083.72,Excellent,East
96,Assam,Silchar,2024,Rabi,Mustard,467.03,737.91,1.58,2385.1,16.5,79.9,Alluvial,Canal,19287.13,3384.84,Small,No,3,4545.22,9533541.35,3353963.29,-6179578.06,Good,Northeast
97,Assam,Silchar,2025,Whole Year,Sugarcane,404.6,30951.9,76.5,1980.0,35.2,21.1,Alluvial,Sprinkler,48345.4,3774.96,Small,No,4,362.7,32615302.18,11226254.13,-21389048.05,Excellent,Northeast
98,Telangana,Hyderabad,2020,Rabi,Maize,162.48,437.07,2.69,783.0,36.4,96.3,Alluvial,Tube Well,22942.75,182.92,Medium,No,4,1700.67,3983283.29,743311.84,-3239971.45,Good,South
99,Telangana,Khammam,2022,Rabi,Potato,319.72,7423.9,23.22,740.5,43.5,58.3,Laterite,Tube Well,29512.55,2788.39,Large,No,16,1409.49,19314367.56,10463912.81,-8850454.75,Good,South
100,Bihar,Patna,2025,Rabi,Jowar,39.97,35.97,0.9,1688.2,27.7,65.8,Red,Drip,3434.88,268.75,Small,No,5,1842.18,758986.07,66263.21,-692722.86,Average,East
101,Punjab,Jalandhar,2020,Rabi,Jowar,228.94,288.46,1.26,2440.1,35.3,51.7,Black,Drip,27693.4,343.0,Small,Yes,1,2291.66,4427185.77,661052.24,-3766133.53,Good,North
102,Gujarat,Surat,2020,Zaid,Onion,187.86,3742.17,19.92,2759.6,23.2,26.4,Clay,Tube Well,11012.09,1965.61,Small,No,4,1587.5,9993485.76,5940694.88,-4052790.88,Good,West
103,Punjab,Ludhiana,2022,Kharif,Bajra,266.43,399.64,1.5,1103.9,19.6,95.0,Clay,Canal,11858.91,2201.29,Medium,No,4,1544.4,2843583.15,617204.02,-2226379.13,Average,North
104,Karnataka,Mangaluru,2018,Kharif,Cotton,201.73,76.66,0.38,2604.8,12.0,60.3,Alluvial,Drip,31108.8,1824.99,Small,No,3,5473.81,10471089.78,419622.27,-10051467.51,Poor,South
105,Tamil Nadu,Coimbatore,2024,Whole Year,Sugarcane,31.42,3058.11,97.33,2743.6,31.9,54.2,Laterite,Canal,5533.71,356.85,Medium,No,9,349.63,2398300.13,1069207.0,-1329093.13,Excellent,South
106,Uttar Pradesh,Varanasi,2025,Kharif,Cotton,151.07,113.3,0.75,2752.7,29.7,97.4,Sandy,Tube Well,8878.83,554.64,Small,No,4,6694.27,4881313.4,758460.79,-4122852.61,Good,North
107,Madhya Pradesh,Indore,2022,Kharif,Groundnut,436.94,847.66,1.94,2200.5,29.6,58.4,Alluvial,Sprinkler,76020.03,510.64,Large,No,13,5620.32,13682759.12,4764120.45,-8918638.67,Average,Central
108,West Bengal,Asansol,2021,Kharif,Groundnut,276.49,470.03,1.7,1647.6,22.6,40.9,Sandy,Rain-fed,29097.97,2718.17,Medium,No,9,5871.5,7067243.06,2759781.15,-4307461.91,Good,East
109,Andhra Pradesh,Visakhapatnam,2020,Whole Year,Rice,277.1,1080.69,3.9,956.1,16.9,38.4,Sandy,Drip,30453.9,2272.41,Medium,No,11,2176.56,10483770.67,2352186.63,-8131584.04,Excellent,South
110,Uttar Pradesh,Meerut,2020,Rabi,Maize,92.84,566.32,6.1,2876.0,28.3,87.1,Black,Canal,13648.17,513.99,Medium,No,6,1305.48,2328451.42,739319.43,-1589131.99,Excellent,North
111,Andhra Pradesh,Kurnool,2025,Kharif,Pulses,8.85,8.67,0.98,148.5,35.3,62.9,Alluvial,Canal,976.25,76.79,Small,No,2,5267.54,114723.78,45669.57,-69054.21,Good,South
112,Madhya Pradesh,Ujjain,2022,Kharif,Tomato,134.4,3170.5,23.59,1277.5,29.8,99.2,Red,Sprinkler,18246.93,1387.89,Medium,No,4,821.55,7832057.96,2604724.27,-5227333.69,Average,Central
113,Punjab,Ludhiana,2020,Rabi,Wheat,422.82,1437.59,3.4,2934.3,44.1,91.6,Black,Drip,29427.59,4460.45,Large,No,11,2354.5,13665422.9,3384805.65,-10280617.25,Average,North
114,Tamil Nadu,Tiruchirappalli,2018,Rabi,Maize,8.81,20.09,2.28,2480.0,38.7,94.3,Alluvial,Drip,1047.99,63.73,Medium,No,12,1499.04,251776.85,30115.71,-221661.14,Good,South
115,West Bengal,Kolkata,2023,Kharif,Rice,219.11,688.01,3.14,2330.1,43.4,51.7,Alluvial,Canal,28216.38,2107.63,Small,No,5,2158.8,7370194.07,1485275.99,-5884918.08,Average,East
116,Telangana,Karimnagar,2019,Zaid,Onion,399.23,5549.3,13.9,547.2,34.9,70.7,Clay,Rain-fed,33669.04,867.15,Small,No,3,1889.75,14993396.19,10486789.68,-4506606.51,Good,South
117,Gujarat,Vadodara,2024,Rabi,Wheat,45.72,180.14,3.94,2374.9,40.2,21.0,Laterite,Rain-fed,6816.11,410.26,Medium,No,7,2143.18,1053959.96,386072.45,-667887.51,Good,West
118,Uttar Pradesh,Meerut,2022,Whole Year,Sugarcane,73.82,4296.32,58.2,969.3,37.4,48.9,Red,Rain-fed,9089.67,232.61,Small,No,4,313.22,6260503.49,1345693.35,-4914810.14,Poor,North
119,Rajasthan,Udaipur,2023,Kharif,Groundnut,150.92,318.44,2.11,1489.1,16.2,51.9,Alluvial,Sprinkler,21563.81,1201.61,Large,No,20,5064.08,4866780.28,1612605.64,-3254174.64,Good,North
120,Haryana,Sirsa,2021,Rabi,Barley,341.17,1187.27,3.48,1438.7,34.8,55.1,Alluvial,Canal,52763.71,3327.17,Small,No,3,1621.01,7364710.45,1924576.54,-5440133.91,Good,North
121,Bihar,Muzaffarpur,2019,Kharif,Bajra,291.54,702.61,2.41,2621.9,24.6,22.9,Alluvial,Tube Well,35898.72,3223.97,Small,No,3,1499.8,4701601.16,1053774.48,-3647826.68,Good,East
122,Telangana,Karimnagar,2023,Zaid,Onion,53.87,705.16,13.09,2265.9,29.5,75.0,Red,Rain-fed,4976.33,328.27,Medium,No,6,1348.46,1918529.75,950880.05,-967649.7,Good,South
123,Gujarat,Ahmedabad,2019,Zaid,Tomato,174.82,5220.13,29.86,1611.2,22.2,27.8,Clay,Rain-fed,14798.05,752.23,Medium,Yes,9,1828.36,8872533.39,9544276.89,671743.5,Poor,West
124,Madhya Pradesh,Ujjain,2020,Kharif,Jowar,166.16,234.29,1.41,2413.5,32.0,34.9,Clay,Rain-fed,15848.6,1513.93,Large,No,23,1772.19,2832588.7,415206.4,-2417382.3,Good,Central
